n,r,p
"(:Employee {work_email: sofie@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88884567,last_name: Nielsen,id: 4,first_name: Sofie})",[:WORKS_IN],"(:Employee {work_email: sofie@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88884567,last_name: Nielsen,id: 4,first_name: Sofie})"
"(:Employee {work_email: sofie@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88884567,last_name: Nielsen,id: 4,first_name: Sofie})",[:BELONGS_TO],"(:Employee {work_email: sofie@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88884567,last_name: Nielsen,id: 4,first_name: Sofie})"
"(:Employee {work_email: sofie@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88884567,last_name: Nielsen,id: 4,first_name: Sofie})",[:HAS_COMPLETED],"(:Employee {work_email: sofie@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88884567,last_name: Nielsen,id: 4,first_name: Sofie})"
"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})",[:IS_A],"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})"
"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})"
"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})",[:IS_MANAGER],"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})"
"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})",[:HAS],"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})"
"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})",[:OCCUPIES],"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})"
"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})",[:WORKS_IN],"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})"
"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})",[:BELONGS_TO],"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})"
"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})",[:IN_PROGRESS],"(:Employee {work_email: jonas@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88885678,last_name: Pedersen,id: 5,first_name: Jonas})"
"(:Employee {work_email: emma@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88886789,last_name: Christensen,id: 6,first_name: Emma})",[:IS_A],"(:Employee {work_email: emma@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88886789,last_name: Christensen,id: 6,first_name: Emma})"
"(:Employee {work_email: emma@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88886789,last_name: Christensen,id: 6,first_name: Emma})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: emma@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88886789,last_name: Christensen,id: 6,first_name: Emma})"
"(:Employee {work_email: emma@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88886789,last_name: Christensen,id: 6,first_name: Emma})",[:HAS],"(:Employee {work_email: emma@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88886789,last_name: Christensen,id: 6,first_name: Emma})"
"(:Employee {work_email: emma@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88886789,last_name: Christensen,id: 6,first_name: Emma})",[:OCCUPIES],"(:Employee {work_email: emma@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88886789,last_name: Christensen,id: 6,first_name: Emma})"
"(:Employee {work_email: emma@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88886789,last_name: Christensen,id: 6,first_name: Emma})",[:WORKS_IN],"(:Employee {work_email: emma@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88886789,last_name: Christensen,id: 6,first_name: Emma})"
"(:Employee {work_email: emma@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88886789,last_name: Christensen,id: 6,first_name: Emma})",[:BELONGS_TO],"(:Employee {work_email: emma@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88886789,last_name: Christensen,id: 6,first_name: Emma})"
"(:Employee {work_email: emma@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88886789,last_name: Christensen,id: 6,first_name: Emma})",[:IN_PROGRESS],"(:Employee {work_email: emma@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88886789,last_name: Christensen,id: 6,first_name: Emma})"
"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})",[:IS_A],"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})"
"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})"
"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})",[:IS_MANAGER],"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})"
"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})"
"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})",[:HAS],"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})"
"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})",[:OCCUPIES],"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})"
"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})",[:WORKS_IN],"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})"
"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})",[:BELONGS_TO],"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})"
"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})",[:IN_PROGRESS],"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})"
"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})",[:HAS_COMPLETED],"(:Employee {work_email: noaah@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887890,last_name: Larsaen,id: 7,first_name: Noaah})"
"(:Employee {work_email: freja@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888901,last_name: Mortensen,id: 8,first_name: Freja})",[:IS_A],"(:Employee {work_email: freja@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888901,last_name: Mortensen,id: 8,first_name: Freja})"
"(:Employee {work_email: freja@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888901,last_name: Mortensen,id: 8,first_name: Freja})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: freja@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888901,last_name: Mortensen,id: 8,first_name: Freja})"
"(:Employee {work_email: freja@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888901,last_name: Mortensen,id: 8,first_name: Freja})",[:HAS],"(:Employee {work_email: freja@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888901,last_name: Mortensen,id: 8,first_name: Freja})"
"(:Employee {work_email: freja@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888901,last_name: Mortensen,id: 8,first_name: Freja})",[:OCCUPIES],"(:Employee {work_email: freja@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888901,last_name: Mortensen,id: 8,first_name: Freja})"
"(:Employee {work_email: freja@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888901,last_name: Mortensen,id: 8,first_name: Freja})",[:WORKS_IN],"(:Employee {work_email: freja@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888901,last_name: Mortensen,id: 8,first_name: Freja})"
"(:Employee {work_email: freja@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888901,last_name: Mortensen,id: 8,first_name: Freja})",[:BELONGS_TO],"(:Employee {work_email: freja@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888901,last_name: Mortensen,id: 8,first_name: Freja})"
"(:Employee {work_email: freja@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888901,last_name: Mortensen,id: 8,first_name: Freja})",[:HAS_COMPLETED],"(:Employee {work_email: freja@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888901,last_name: Mortensen,id: 8,first_name: Freja})"
